E,pt,eta,phi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587191,560963,0.21771,0.0361481;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.23E+06,453519,1.65477,0.0368408;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.43E+06,873048,-1.07019,0.0370453;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547826,398819,0.816421,0.0377434;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12E+06,681071,1.08082,-0.0387311;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.24E+06,737364,1.1099,-0.0390381;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.20E+06,1.16E+06,-0.251281,0.03962;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638690,419026,0.980921,-0.0397952;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500729,198590,1.56861,-0.039993;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899438,882788,-0.177939,0.0400802;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.09E+06,873460,0.682617,-0.0406379;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964756,816941,0.588455,0.0407895;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.41E+06,573722,1.54688,0.040976;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743236,720473,-0.221758,0.0412553;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468204,350644,-0.792231,-0.0418234;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811645,378218,-1.39594,-0.041926;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.31E+06,1.26E+06,-0.256225,0.0434539;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364391,346927,0.211519,0.0435587;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419727,222266,1.24657,-0.0449358;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836393,806364,0.264211,0.0458521;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758269,400377,1.25313,0.0479457;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523324,460933,-0.511446,-0.0482199;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899793,592784,-0.978109,-0.0485411;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986208,502528,1.294,0.0488878;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476652,337300,-0.866848,-0.0492932;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702861,594375,-0.59026,-0.0500647;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.14E+06,980998,-0.536415,0.0507813;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637118,621127,-0.216395,-0.0511092;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556373,542406,-0.172493,0.0512289;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982221,816983,-0.611384,0.051519;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401851,389203,-0.059095,0.0516421;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636062,443325,-0.899481,0.0517864;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.16E+06,235742,-2.27195,-0.0521064;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777531,494863,1.02174,-0.0523125;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.57E+06,329283,-2.24633,-0.0527085;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05E+06,864445,-0.630862,-0.0531978;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.48E+06,842786,-1.16046,-0.0532117;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558843,501911,-0.468418,0.0532845;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.83E+06,834231,-1.41967,-0.0551834;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986214,868102,0.51262,0.0561887;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515632,514228,-0.011941,0.056407;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401929,397493,-0.108253,-0.0567219;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340164,338264,0.0578668,-0.0567574;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.15E+06,1.08E+06,-0.338589,0.0579773;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731498,726592,0.0960503,0.0582727;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918620,879492,-0.280383,0.0589767;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.46E+06,1.40E+06,0.296667,0.0589913;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452216,439884,-0.209082,-0.0591135;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.36E+06,1.11E+06,-0.617137,-0.0593473;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726651,697221,-0.267631,0.0597298;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+06,990573,-0.163783,-0.0597716;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613644,598469,-0.204618,0.0600104;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678922,384412,1.16964,0.0601726;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664408,269545,-1.55111,0.060322;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779546,706112,-0.448443,-0.0611785;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539008,512691,-0.308378,-0.0615504;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619435,448907,-0.844953,0.0615665;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542928,444414,-0.646334,0.0619863;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549340,529202,0.269131,-0.0621821;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324106,321307,0.0980759,0.0623177;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702121,684922,0.171013,-0.062368;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339747,323428,0.29993,0.0636164;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716700,640982,-0.470886,0.0645168;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653076,578587,0.477352,0.065962;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421074,420373,0.0158527,-0.0661998;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.55E+06,441498,1.92918,-0.0664744;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589219,571614,0.246164,0.066567;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352419,314433,-0.460761,0.0669078;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916900,432289,1.38163,-0.0670664;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755958,454865,1.09079,-0.0684884;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418545,312788,0.762052,-0.0687897;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486573,447253,-0.401865,0.0698908;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851816,725858,-0.572279,0.0700413;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744457,742994,0.0428438,0.0704602;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655494,612796,-0.0917184,-0.0714728;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391716,383796,-0.0866135,-0.0716815;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.08E+06,336700,1.82975,-0.0721191;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625113,562701,0.457357,0.0726317;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987942,662497,-0.954239,-0.0732066;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425621,379831,-0.476743,-0.0732569;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371490,356243,0.238813,-0.0732619;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.31E+06,754879,-1.14926,0.0740723;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634702,628351,-0.120193,-0.0743887;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828988,303473,-1.66126,-0.0745896;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10E+06,933703,-0.583861,0.075505;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841418,646884,0.744365,-0.0757818;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410105,352009,0.442982,0.0758115;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620598,610596,0.0097089,-0.0768018;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700301,667077,-0.298114,0.076833;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05E+06,742608,0.877438,0.077101;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.65E+06,809360,-1.34005,0.081136;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.14E+06,836858,-0.824151,-0.0813059;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706815,683325,-0.238091,-0.0818009;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529908,336142,1.02269,0.0819789;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677319,521544,0.746571,-0.0821525;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342917,338636,-0.144728,0.0823739;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315444,311741,-0.131128,-0.0830626;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725674,579902,-0.68498,-0.0836849;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.36E+06,406522,1.87493,-0.0840237;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.84E+06,777747,1.9694,0.0843992;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561993,535014,0.218095,-0.0850487;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.76E+06,999566,1.16288,0.0853322;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358316,309812,0.530218,0.0855082;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.15E+06,953806,-0.610087,0.0858007;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527480,442504,0.606585,0.0862147;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455084,453871,0.0386617,-0.0872946;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778859,648668,-0.621843,0.0878529;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.33E+06,614761,-1.40748,-0.0878552;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463076,392116,-0.58914,-0.0887233;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761640,693037,-0.439621,0.0890908;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.23E+06,1.14E+06,-0.367984,0.0894964;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342650,338902,0.0685077,0.0898115;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908676,778448,0.500342,-0.0905424;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.11E+06,1.01E+06,0.4566,0.0914633;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.69E+06,1.27E+06,-0.765312,0.0918526;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.30E+06,896711,-0.90748,0.0930856;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474672,333851,-0.886468,0.0941045;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.44E+06,1.27E+06,-1.26392,0.0945305;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.51E+06,1.43E+06,-0.268157,-0.0948974;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897089,518710,-1.1427,0.0949057;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769747,548154,-0.870393,-0.0963211;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550597,486428,-0.417473,0.0982263;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949524,386459,1.54728,0.0985747;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998518,624359,-1.04334,0.0986751;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652549,634136,0.188913,-0.0988224;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.77E+06,878121,-1.325,0.0991351;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647506,614089,-0.321487,-0.100172;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575817,475422,-0.633463,0.100181;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776057,625904,0.673968,0.100365;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355091,344172,0.187333,0.101441;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617597,359878,-1.1278,0.101502;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343580,329476,-0.250707,0.101772;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701674,628836,-0.470639,0.101822;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865649,825289,-0.287066,-0.103345;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377802,364044,-0.271751,0.103874;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377417,376342,0.0330052,-0.103961;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.03E+06,412495,1.5607,-0.104149;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269192,267450,0.0205183,0.105717;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.03E+06,657245,-1.02451,0.105912;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.35E+06,1.35E+06,0.00569903,0.105954;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540788,528438,-0.184123,-0.10604;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362656,276559,0.769518,-0.106125;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237679,221447,0.36681,-0.106873;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526305,436029,0.62913,0.10748;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.69E+06,344558,2.27365,0.108136;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400781,361396,0.44095,0.108266;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488166,409826,-0.606765,-0.108847;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457806,436287,-0.308503,-0.109757;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651969,647807,-0.0715371,0.11018;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654473,539285,0.641511,0.110375;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704413,426702,1.08562,0.111393;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268088,242067,-0.442702,-0.111692;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221998,220476,0.0618115,-0.11211;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758847,741275,-0.183576,0.112135;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932084,626479,-0.951052,-0.112699;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652289,593187,0.437259,-0.113104;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726500,458880,1.0199,0.113687;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878647,649115,-0.814161,0.114553;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678135,512409,-0.778426,0.114667;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584777,559004,-0.292751,0.115679;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659519,652221,-0.0778109,-0.115836;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442006,429043,-0.168133,-0.116546;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921716,871613,0.329681,0.116741;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366833,307258,0.541209,-0.117143;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420130,378747,-0.449171,-0.117197;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267349,262065,-0.159598,0.117432;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242252,235379,-0.21554,-0.117476;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701742,568313,-0.66235,0.117738;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688682,562419,-0.655221,0.11783;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710659,610064,0.5623,0.118044;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640924,395591,1.06045,-0.118091;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02E+06,671606,-0.973925,0.118695;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+06,621010,1.0636,0.118735;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699994,662057,0.259886,-0.119171;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907371,627945,-0.896521,-0.119921;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552030,538660,-0.177007,-0.120021;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534602,533804,-0.0355777,-0.121045;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75E+06,486433,1.95596,-0.121552;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.19E+06,526905,-2.10072,0.122373;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589759,581799,0.144298,0.122456;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.08E+06,830341,-0.746259,-0.1228;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558773,554056,-0.0753345,0.123294;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600112,584516,0.205659,-0.12375;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634891,576368,-0.432558,-0.123859;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05E+06,465112,-1.44773,0.123904;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604552,501471,0.62602,-0.123938;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.44E+06,1.13E+06,0.714525,-0.123945;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807309,791649,0.155881,-0.12416;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642991,287525,1.44314,0.124645;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722073,338553,-1.38943,-0.124645;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675531,672653,-0.0325092,-0.124841;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.40E+06,631191,1.43315,0.1249;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481098,335694,0.887155,0.125368;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631400,599690,-0.322244,-0.125449;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697670,459784,-0.976154,0.125778;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
